#PV	Ca E1 (M)	PV	Mg E1 (M)	PV	Na E1 (M)
0.0	5.33E-03	0.0	4.37E-03	0.0	4.71E-03
0.0	5.40E-03	0.0	4.46E-03	0.0	4.70E-03
0.2	5.48E-03	0.2	4.45E-03	0.2	4.70E-03
0.4	5.40E-03	0.4	4.47E-03	0.4	4.67E-03
0.7	5.50E-03	0.7	4.44E-03	0.7	4.70E-03
0.9	3.85E-03	0.9	3.17E-03	0.9	3.97E-03
1.1	1.96E-03	1.1	1.71E-03	1.1	2.94E-03
1.3	1.84E-03	1.3	1.66E-03	1.3	2.89E-03
1.6	1.91E-03	1.6	1.72E-03	1.6	2.64E-03
1.8	2.19E-03	1.8	2.01E-03	1.8	1.45E-03
2.0	2.43E-03	2.0	2.21E-03	2.0	6.91E-04
2.3	2.50E-03	2.3	2.27E-03	2.3	4.70E-04
2.5	2.57E-03	2.5	2.27E-03	2.5	3.61E-04
2.7	2.52E-03	2.7	2.32E-03	2.7	2.74E-04
2.9	2.51E-03	3.6	2.35E-03	3.6	1.17E-04
3.2	2.60E-03	4.5	2.37E-03	4.5	4.35E-05
3.6	2.47E-03	5.4	2.37E-03	5.4	3.04E-05
4.5	2.59E-03	6.4	2.35E-03	6.4	0.00E+00
5.4	2.55E-03	7.3	2.37E-03	7.3	0.00E+00
6.4	2.61E-03	7.7	2.37E-03	7.7	0.00E+00
7.3	2.68E-03	8.6	2.37E-03	8.6	0.00E+00
8.2	2.65E-03	9.5	2.30E-03	9.5	0.00E+00
8.6	2.85E-03	10.4	1.61E-03	10.4	0.00E+00
9.1	2.70E-03	11.4	6.26E-04	11.4	0.00E+00
9.5	2.96E-03	12.3	2.06E-04	12.3	0.00E+00
10.0	3.03E-03	13.2	7.41E-05	13.2	0.00E+00
10.4	3.74E-03	14.5	2.47E-05	14.5	0.00E+00
10.9	4.24E-03	15.5	4.12E-06	15.5	0.00E+00
11.4	4.84E-03	16.4	4.12E-06	16.4	0.00E+00
11.8	5.06E-03	17.3	0.00E+00	17.3	0.00E+00
12.3	5.21E-03	18.2	2.06E-05	18.2	0.00E+00
12.7	5.16E-03	19.1	4.12E-06	19.1	0.00E+00
13.6	5.28E-03	20.0	1.23E-04	20.0	0.00E+00
14.5	5.28E-03	20.0	0.00E+00	20.0	0.00E+00
15.5	5.15E-03	20.0	0.00E+00	20.0	0.00E+00
16.4	5.35E-03	20.4	0.00E+00	20.4	0.00E+00
17.3	5.31E-03	20.9	0.00E+00	20.9	0.00E+00
18.2	5.28E-03	21.3	0.00E+00	21.3	0.00E+00
19.1	5.35E-03	21.8	0.00E+00	21.8	2.67E-03
20.0	5.28E-03	22.3	0.00E+00	22.3	4.19E-03
20.0	5.42E-03	22.7	0.00E+00	22.7	4.44E-03
20.2	5.36E-03	23.2	0.00E+00	23.2	4.46E-03
20.4	5.31E-03	23.6	0.00E+00	23.6	4.55E-03
20.7	5.31E-03	24.1	0.00E+00	24.1	4.65E-03
20.9	5.32E-03	24.9	0.00E+00	24.9	4.57E-03
21.3	5.37E-03	28.5	0.00E+00	28.5	4.58E-03
21.6	5.25E-03	32.2	4.12E-06	32.2	4.59E-03
21.8	5.05E-03	35.8	3.37E-04	35.8	4.60E-03
22.0	3.98E-03	39.4	1.32E-03	39.4	4.58E-03
22.3	3.30E-03	43.1	1.77E-03	65.0	4.55E-03
22.5	2.96E-03	46.7	2.09E-03	65.0	4.89E-03
22.7	2.80E-03	50.4	2.25E-03	65.2	4.67E-03
23.6	2.74E-03	54.0	2.32E-03	65.4	4.57E-03
24.9	2.69E-03	57.7	2.38E-03	65.7	4.73E-03
26.7	2.53E-03	61.3	2.42E-03	65.9	5.72E-03
28.5	2.72E-03	64.9	2.41E-03	66.1	8.14E-03
30.3	2.50E-03	65.0	2.51E-03	66.3	8.35E-03
32.2	2.68E-03	65.0	2.63E-03	66.6	5.50E-03
34.0	2.64E-03	65.2	2.57E-03	66.8	4.93E-03
35.8	2.29E-03	65.4	2.52E-03	67.0	4.77E-03
37.6	1.82E-03	65.7	2.54E-03	67.3	4.78E-03
39.4	1.30E-03	65.9	3.98E-03	67.5	4.69E-03
41.3	1.01E-03	66.1	7.48E-03	67.7	4.71E-03
43.1	7.23E-04	66.3	8.21E-03	68.6	4.70E-03
44.9	5.52E-04	66.6	8.48E-03	69.5	4.75E-03
46.7	4.14E-04	66.8	9.72E-03	70.4	4.70E-03
48.6	2.92E-04	67.0	9.67E-03	70.7	4.72E-03
50.4	2.36E-04	67.3	9.52E-03	70.9	4.87E-03
52.2	1.60E-04	67.5	9.54E-03	71.1	4.64E-03
54.0	1.42E-04	67.7	9.50E-03	71.4	4.72E-03
55.8	8.73E-05	68.6	9.50E-03	71.6	4.64E-03
